TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AALR3;22,51;;-19,65;2,32;1,03;30,55;-0,34;-12,41;-711,02;-864,43;-151,83;0,50;2,44;-28,65;-1,26;0,83;-11,83;-5,26;-1,68;0,45;0,54;0,42;3,62;;10.384.806,14;9,68;-1,15;0,04;2.668.685.928,96
ABCB4;16,96;8,24;4,79;0,74;0,07;35,76;27,56;19,63;3,41;3,40;;;0,94;1,02;-0,07;3,58;15,37;1,41;;0,09;0,91;0,07;13,58;13,36;16.670.459,65;23,02;3,54;0,12;3.820.922.994,20
ABEV3;14,37;5,30;15,65;2,72;1,64;49,29;22,15;18,14;12,82;12,15;-0,66;-0,14;2,84;-83,09;-2,26;0,93;17,35;10,48;19,52;0,60;0,40;0,58;10,72;14,74;476.041.978,00;5,29;0,92;1,11;226.173.113.980,36
ADHM3;1,56;;-4,09;-1,29;105,12;100,00;-13.548,48;-18.860,61;-5,69;-5,69;0,00;;770,90;-1,43;-116,16;0,00;-31,47;-2.571,90;22,61;-81,72;82,72;0,14;;;;-1,21;-0,38;-0,58;25.439.770,20
AERI3;1,18;;-9,75;1,02;0,24;11,93;8,65;-3,76;4,24;7,77;3,54;0,85;0,37;0,71;-0,77;1,95;-10,48;-2,46;7,31;0,23;0,77;0,65;;;8.424.928,84;1,15;-0,12;0,04;904.131.878,08
AESB3;10,00;1,07;40,21;1,08;0,32;31,84;24,53;5,26;8,63;18,82;10,19;1,28;2,12;2,05;-0,43;2,60;2,69;0,79;3,82;0,29;0,71;0,15;;;20.430.705,28;9,26;0,25;;6.019.273.110,00
AFLT3;8,81;2,68;14,82;2,13;1,85;61,82;53,18;52,03;14,50;13,95;-0,55;-0,08;7,71;11,56;-2,39;3,34;14,38;12,47;13,28;0,87;0,13;0,24;24,96;24,53;4.359,23;4,13;0,59;-0,24;555.776.207,00
AGRO3;24,20;21,71;17,45;1,21;0,74;23,11;15,40;11,02;12,48;15,33;2,84;0,27;1,92;3,90;-1,18;1,99;6,92;4,22;4,74;0,61;0,39;0,38;59,78;39,06;12.299.597,14;20,04;1,39;-0,22;2.478.547.363,68
AGXY3;8,01;2,10;-20,82;1,09;0,17;12,49;4,37;-0,61;2,93;5,73;2,81;1,05;0,13;7,33;-0,88;1,03;-5,23;-0,84;15,21;0,16;0,84;1,37;;;410.702,74;7,35;-0,38;-0,02;1.368.308.161,89
AHEB3;20,00;;-5,16;-2,11;0,59;30,92;-3,68;-15,89;-22,32;-22,41;-0,11;;0,82;-172,95;-0,79;0,99;-40,93;-11,41;11,01;-0,28;1,28;0,72;-1,24;;16.351,20;-9,47;-3,87;0,11;170.784.028,27
AHEB5;22,00;;-5,68;-2,32;0,65;30,92;-3,68;-15,89;-24,55;-22,41;-0,11;;0,90;-190,25;-0,87;0,99;-40,93;-11,41;11,01;-0,28;1,28;0,72;-1,24;;;-9,47;-3,87;0,13;170.784.028,27
AHEB6;19,31;;-4,98;-2,04;0,57;30,92;-3,68;-15,89;-21,55;-22,41;-0,11;;0,79;-166,99;-0,77;0,99;-40,93;-11,41;11,01;-0,28;1,28;0,72;-1,24;;1.931,00;-9,47;-3,87;0,11;170.784.028,27
ALLD3;4,91;18,84;6,01;0,31;0,12;15,07;4,04;1,48;2,21;4,56;2,35;0,33;0,09;0,44;-0,41;1,68;5,08;2,06;8,62;0,41;0,59;1,39;14,71;32,15;126.335,60;16,09;0,82;-0,08;457.713.057,62
ALPA3;8,76;;49,26;1,04;0,70;46,10;4,81;2,90;29,75;31,87;3,12;0,11;1,43;2,63;-1,27;2,52;2,11;1,43;1,62;0,68;0,32;0,49;2,36;-19,63;105.725,91;8,43;0,18;-0,60;5.780.929.660,25
ALPA4;8,15;;45,83;0,97;0,66;46,10;4,81;2,90;27,68;31,87;3,12;0,11;1,33;2,44;-1,18;2,52;2,11;1,43;1,62;0,68;0,32;0,49;2,36;-19,63;63.692.127,42;8,43;0,18;-0,56;5.780.929.660,25
ALPK3;1,17;;-1,56;0,59;0,10;28,49;6,81;-14,45;3,31;19,62;16,25;2,89;0,23;-0,40;-0,11;0,30;-37,78;-6,27;3,96;0,17;0,83;0,43;3,17;;426.442,16;1,99;-0,75;0,06;255.167.562,37
ALSO3;17,61;2,18;64,84;1,28;0,82;127,89;98,04;14,03;9,28;6,95;-2,35;-0,33;9,09;4,49;-1,12;3,22;1,98;1,27;13,41;0,64;0,36;0,09;25,65;2,40;66.377.291,40;13,72;0,27;-1,50;10.129.986.443,85
ALUP11;26,99;4,56;8,61;0,76;0,28;81,93;74,76;23,96;2,76;5,90;3,14;0,87;2,06;2,81;-0,35;2,10;8,86;3,29;11,93;0,37;0,63;0,14;20,04;22,65;28.896.879,21;35,39;3,13;-0,49;7.906.140.544,31
ALUP3;8,98;4,57;8,60;0,76;0,28;81,93;74,76;23,96;2,75;5,90;3,14;0,87;2,06;2,80;-0,35;2,10;8,86;3,29;11,93;0,37;0,63;0,14;20,04;22,65;154.357,84;11,80;1,04;-0,49;7.906.140.544,31
ALUP4;8,99;4,56;8,60;0,76;0,28;81,93;74,76;23,96;2,76;5,90;3,14;0,87;2,06;2,81;-0,35;2,10;8,86;3,29;11,93;0,37;0,63;0,14;20,04;22,65;267.289,49;11,80;1,04;-0,49;7.906.140.544,31
AMAR3;0,64;;-0,85;0,23;0,06;43,55;-1,08;-9,30;-7,30;-58,03;-50,85;1,57;0,08;0,51;-0,11;1,36;-26,59;-7,23;-3,01;0,27;0,73;0,78;-2,41;;9.053.841,58;2,84;-0,76;0,00;215.991.034,56
AMBP3;21,19;1,43;25,97;2,32;0,30;21,94;17,50;2,81;4,17;9,56;5,36;2,98;0,73;1,09;-0,56;2,37;8,92;1,14;7,78;0,13;0,84;0,41;;;22.968.104,51;9,15;0,82;-0,81;2.412.304.159,68
AMER3;1,01;;21,25;0,06;0,02;30,68;4,18;0,15;0,78;8,42;7,64;0,59;0,03;0,10;-0,04;1,84;0,28;0,10;1,24;0,35;0,65;0,65;21,42;;99.085.345,14;16,74;0,05;-0,55;902.529.503,00
ANIM3;2,50;;-2,70;0,38;0,10;56,74;10,86;-10,54;2,62;12,63;9,99;1,43;0,28;3,11;-0,12;1,18;-13,91;-3,57;3,94;0,26;0,71;0,34;22,51;;22.417.749,33;6,66;-0,93;0,00;1.017.749.388,60
APER3;25,01;0,28;14,57;0,61;0,37;100,00;7,85;8,96;16,64;8,85;-7,95;-0,29;1,31;3,41;-0,52;1,60;4,21;2,55;1,93;0,61;0,39;0,28;4,50;;1.051.050,14;40,77;1,72;0,00;289.988.184,84
APTI3;197,64;;0,61;0,02;0,01;101,56;-8,62;16,21;-1,14;-7,12;6,69;-0,09;0,10;0,02;-0,01;6,73;2,49;1,19;-6,40;0,48;0,52;0,07;-6,46;;;13.091,31;325,57;0,00;44.442.750,00
APTI4;3.500,00;;10,75;0,27;0,13;101,56;-8,62;16,21;-20,21;-7,12;6,69;-0,09;1,74;0,37;-0,22;6,73;2,49;1,19;-6,40;0,48;0,52;0,07;-6,46;;;13.091,31;325,57;-0,07;44.442.750,00
ARML3;11,50;3,54;26,78;3,43;1,07;47,03;33,66;15,61;12,42;16,30;3,75;1,04;4,18;4,43;-1,63;3,28;12,83;3,98;9,12;0,31;0,69;0,26;;;5.688.131,88;3,35;0,43;0,17;4.020.706.396,42
ARZZ3;63,70;2,88;16,53;2,64;1,51;53,94;12,99;10,03;12,76;12,55;-0,14;-0,03;1,66;9,38;-3,08;1,46;16,00;9,12;16,35;0,57;0,43;0,91;25,49;22,42;117.312.006,00;24,09;3,85;0,72;6.976.982.395,64
ASAI3;15,52;1,04;17,18;5,38;0,52;16,44;5,23;2,24;7,35;9,76;2,37;1,73;0,38;-9,37;-0,79;0,86;31,31;3,00;16,59;0,10;0,90;1,34;;;288.857.582,79;2,89;0,90;-0,71;21.077.503.902,56
ATMP3;1,35;;-0,08;-0,13;0,02;-0,79;-46,26;-58,02;-0,10;-0,80;-0,71;;0,04;-0,04;-0,03;0,35;-172,50;-29,60;-459,43;-0,17;1,17;0,51;-12,49;;29.923,83;-10,30;-17,77;0,00;35.257.669,92
ATOM3;2,85;2,42;6,77;2,89;1,94;97,47;26,26;27,93;7,20;4,51;-2,51;-1,01;1,89;2,18;-96,37;10,55;42,73;28,61;37,08;0,67;0,33;1,02;;19,78;59.311,74;0,99;0,42;0,10;66.177.616,44
AURA33;38,54;3,79;7,93;1,68;0,72;32,01;22,45;16,94;5,98;6,96;0,98;0,28;1,34;6,04;-1,09;1,54;21,24;9,06;11,82;0,43;0,57;0,53;32,13;79,00;3.190.340,05;22,87;4,86;0,53;2.724.292.134,60
AURE3;14,74;0,68;5,51;0,97;0,46;20,72;25,22;48,49;10,60;12,50;1,90;0,17;2,67;7,12;-0,57;1,49;17,53;8,28;4,81;0,47;0,53;0,17;;;59.108.345,95;15,25;2,67;0,00;14.750.000.000,00
AVLL3;2,56;;-0,13;-0,31;0,03;10,42;-84,66;-176,29;-0,28;-4,43;-4,15;;0,23;-0,08;-0,05;0,45;-235,40;-24,62;-27,54;-0,10;1,10;0,14;;;59.576,00;-8,19;-19,28;0,01;57.384.432,64
AZEV3;1,51;;10,07;0,94;0,24;5,05;-3,09;3,59;-11,69;-14,19;-3,09;0,25;0,36;-3,63;-0,35;0,83;9,28;2,33;-25,37;0,25;0,75;0,65;-8,87;;216.822,51;1,62;0,15;-0,11;110.706.627,20
AZEV4;1,40;;9,34;0,87;0,22;5,05;-3,09;3,59;-10,84;-14,19;-3,09;0,25;0,33;-3,36;-0,32;0,83;9,28;2,33;-25,37;0,25;0,75;0,65;-8,87;;670.622,95;1,62;0,15;-0,10;110.706.627,20
AZUL4;12,04;;-21,08;-0,80;0,81;17,47;8,96;-4,53;10,65;18,72;15,77;;0,95;-1,50;-1,10;0,32;-3,80;-3,86;33,94;-1,02;2,02;0,85;15,41;;198.309.126,00;-15,03;-0,57;0,25;4.203.956.073,98
B3SA3;10,33;3,86;14,22;2,96;1,26;89,92;55,17;41,80;10,78;10,32;-0,50;-0,14;5,95;7,68;-1,97;1,84;20,84;8,88;12,39;0,43;0,57;0,21;22,44;26,66;602.326.550,65;3,49;0,73;-1,37;60.343.030.000,00
BAHI3;8,87;;-2,31;1,59;0,33;37,63;-14,35;-27,44;-4,42;-6,96;-2,55;0,92;0,63;-1,65;-0,35;0,22;-68,60;-14,37;-20,11;0,21;0,77;0,52;;;51.014,64;5,59;-3,84;-0,02;211.494.857,40
BALM3;9,90;3,61;3,77;0,71;0,43;57,07;15,53;17,43;4,23;3,36;-0,83;-0,14;0,66;0,95;-1,36;2,93;18,90;11,35;12,70;0,60;0,40;0,65;3,42;53,56;2.485,00;13,90;2,63;0,02;96.040.000,00
BALM4;9,70;3,68;3,69;0,70;0,42;57,07;15,53;17,43;4,14;3,36;-0,83;-0,14;0,64;0,93;-1,33;2,93;18,90;11,35;12,70;0,60;0,40;0,65;3,42;53,56;4.740,00;13,90;2,63;0,02;96.040.000,00
BAUH4;80,15;;-294,76;4,58;2,75;22,30;4,16;-0,74;52,37;51,92;-0,44;-0,04;2,18;37,76;-4,74;1,21;-1,55;-0,93;-1,36;0,60;0,40;1,26;3,33;;31.122,00;17,50;-0,27;2,45;418.561.093,30
BAZA3;70,00;9,81;3,50;0,81;0,11;33,15;61,79;35,05;1,98;1,95;;;1,23;4,41;-0,12;;23,18;3,24;;0,14;0,86;0,09;17,64;77,05;262.833,70;86,36;20,02;0,07;3.860.175.570,90
BBAS3;39,14;11,02;3,76;0,69;0,06;31,43;16,19;12,62;2,93;2,93;;;0,47;1,70;-0,06;24,89;18,30;1,49;;0,08;0,92;0,12;9,97;22,94;603.935.026,33;56,91;10,42;0,05;112.410.309.694,60
BBDC3;11,86;7,72;5,95;0,80;0,07;36,23;11,76;10,30;5,21;5,52;;;0,61;1,20;-0,08;8,86;13,37;1,18;;0,09;0,91;0,11;8,37;4,42;96.343.863,47;14,92;1,99;1,73;133.546.697.750,28
BBDC4;13,21;7,63;6,63;0,89;0,08;36,23;11,76;10,30;5,81;5,52;;;0,68;1,34;-0,08;8,86;13,37;1,18;;0,09;0,91;0,11;8,37;4,42;732.210.460,60;14,92;1,99;1,93;133.546.697.750,28
BBML3;3.936,42;;2.256,74;2.343,69;151,18;7,00;2,14;4,36;4.591,02;4.602,50;11,48;5,86;98,33;-1.805,14;-242,48;0,82;103,85;6,70;5,91;0,06;0,94;1,54;41,29;87,05;;1,68;1,74;4,59;160.451.699.191,56
BBSE3;32,50;8,97;10,75;8,56;4,03;;;;9,23;9,26;;;;91,17;-7,30;1,11;79,57;37,47;;0,47;0,53;0,00;;8,34;205.725.196,30;3,80;3,02;0,20;65.260.000.000,00
BDLL3;11,40;;3,31;-0,09;0,03;-49,16;-112,68;21,92;-0,64;-6,59;-6,04;;0,73;-0,18;-0,05;0,74;-2,79;0,80;-357,89;-0,29;1,29;0,04;-39,65;;1.928,33;-123,47;3,44;-0,03;15.658.699,20
BDLL4;8,80;;2,56;-0,07;0,02;-49,16;-112,68;21,92;-0,50;-6,59;-6,04;;0,56;-0,14;-0,04;0,74;-2,79;0,80;-357,89;-0,29;1,29;0,04;-39,65;;5.048,50;-123,47;3,44;-0,02;15.658.699,20
BEEF3;10,52;5,34;9,79;6,01;0,30;18,52;7,82;2,11;2,64;5,41;2,76;6,30;0,21;1,32;-0,76;1,60;61,42;3,05;14,54;0,05;0,95;1,45;20,68;;118.914.795,88;1,75;1,07;1,09;6.425.058.446,06
BEES3;6,28;9,74;5,74;1,00;0,05;26,05;10,64;7,23;3,90;4,04;;;0,41;0,44;-0,06;;17,36;0,94;;0,05;0,95;0,13;12,53;15,62;108.546,81;6,31;1,09;0,16;2.057.801.729,00
BEES4;7,15;8,56;6,53;1,13;0,06;26,05;10,64;7,23;4,44;4,04;;;0,47;0,51;-0,07;;17,36;0,94;;0,05;0,95;0,13;12,53;15,62;35.507,44;6,31;1,09;0,18;2.057.801.729,00
BFRE11;0,00;;0,00;0,00;0,00;0,00;145,59;123,55;0,00;;;;0,00;0,00;0,00;;7,60;6,90;;0,91;0,09;0,06;;7,82;;288.910,74;21.963,74;0,00;
BFRE12;0,00;;0,00;0,00;0,00;0,00;145,59;123,55;0,00;;;;0,00;0,00;0,00;;7,60;6,90;;0,91;0,09;0,06;;7,82;;288.910,74;21.963,74;0,00;
BGIP3;24,49;9,16;4,96;0,63;0,05;35,90;8,36;7,03;4,17;3,56;;;0,35;-0,28;-0,10;0,75;12,68;0,97;;0,08;0,92;0,14;8,79;-2,49;2.640,00;38,96;4,94;-0,50;320.146.210,05
BGIP4;17,40;14,18;3,52;0,45;0,03;35,90;8,36;7,03;2,96;3,56;;;0,25;-0,20;-0,07;0,75;12,68;0,97;;0,08;0,92;0,14;8,79;-2,49;106.825,03;38,96;4,94;-0,36;320.146.210,05
BIDI11;10,40;;-238,07;1,08;0,23;50,04;-13,62;-5,22;-91,21;-91,21;;;12,42;;-0,24;;-0,45;-0,10;;0,22;0,78;0,02;5,80;;189.680.308,83;9,67;-0,04;0,13;8.991.139.764,53
BIDI3;3,40;;-233,49;1,06;0,23;50,04;-13,62;-5,22;-89,46;-91,21;;;12,19;;-0,24;;-0,45;-0,10;;0,22;0,78;0,02;5,80;;9.796.295,50;3,22;-0,01;0,12;8.991.139.764,53
BIDI4;3,41;;-234,18;1,06;0,23;50,04;-13,62;-5,22;-89,72;-91,21;;;12,22;;-0,24;;-0,45;-0,10;;0,22;0,78;0,02;5,80;;44.223.197,08;3,22;-0,01;0,12;8.991.139.764,53
BIOM3;3,67;;-3,22;1,88;0,74;15,24;-82,17;-88,19;-3,46;-4,20;-0,79;0,43;2,84;3,28;-1,35;1,98;-58,17;-22,85;-26,21;0,39;0,61;0,26;299,61;;119.569,00;1,96;-1,14;-0,21;294.261.922,88
BLAU3;24,17;3,42;11,95;2,39;1,74;47,47;32,14;25,78;9,59;8,93;-0,73;-0,18;3,08;3,32;-5,28;4,52;19,95;14,52;16,16;0,73;0,27;0,56;;;9.483.475,74;10,13;2,02;1,04;4.368.242.414,65
BLUT3;5,14;;-5,63;0,46;0,14;;;;-6,17;-4,91;-1,59;0,12;;-1,08;-0,14;0,00;-8,15;-2,46;-6,65;0,30;0,70;0,00;;;254.063,54;11,21;-0,91;0,20;14.115.600,06
BLUT4;1,52;;-1,66;0,14;0,04;;;;-1,82;-4,91;-1,59;0,12;;-0,32;-0,04;0,00;-8,15;-2,46;-6,65;0,30;0,70;0,00;;;224.305,00;11,21;-0,91;0,06;14.115.600,06
BMEB3;10,95;4,50;5,74;0,84;0,07;53,83;7,19;5,46;4,36;4,22;;;0,31;0,64;-0,08;;14,67;1,29;;0,09;0,91;0,24;5,94;22,46;7.766,53;13,00;1,91;0,83;1.112.197.548,60
BMEB4;10,05;5,39;5,27;0,77;0,07;53,83;7,19;5,46;4,00;4,22;;;0,29;0,58;-0,08;;14,67;1,29;;0,09;0,91;0,24;5,94;22,46;50.280,14;13,00;1,91;0,76;1.112.197.548,60
BMGB4;2,06;17,73;19,91;0,29;0,03;41,43;-3,97;0,96;-4,79;-4,76;;;0,19;;-0,03;;1,46;0,14;;0,09;0,91;0,14;19,34;37,39;2.191.564,09;7,08;0,10;-0,27;1.195.626.442,55
BMIN3;16,45;7,34;8,13;0,60;0,32;53,40;31,05;23,54;6,17;5,91;;;1,92;117,07;-0,32;;7,39;3,90;;0,53;0,47;0,17;16,78;;6.041,83;27,38;2,02;0,04;76.072.375,05
BMIN4;11,80;10,23;5,83;0,43;0,23;53,40;31,05;23,54;4,42;5,91;;;1,37;83,98;-0,23;;7,39;3,90;;0,53;0,47;0,17;16,78;;8.922,00;27,38;2,02;0,03;76.072.375,05
BMKS3;389,98;4,58;7,79;0,91;0,82;27,02;58,86;126,97;16,81;2,35;-14,46;-0,78;9,89;1,06;-3,91;25,81;11,66;10,49;3,03;0,90;0,11;0,08;-1,89;7,47;5.842,29;429,20;50,06;0,02;177.343.405,00
BMOB3;13,79;1,62;14,65;1,18;0,93;21,48;6,69;5,80;12,70;6,84;-5,87;-0,55;0,85;2,02;-2,67;3,40;8,08;6,34;4,54;0,78;0,22;1,09;;;4.947.460,72;11,64;0,94;1,08;1.253.636.378,68
BNBR3;81,00;2,39;3,47;0,78;0,11;45,53;40,10;24,51;2,12;2,12;;;0,85;1,93;-0,12;;22,40;3,19;;0,14;0,86;0,13;8,76;22,98;16.971,55;104,16;23,33;0,14;6.996.088.584,00
BOAS3;7,58;3,52;15,39;1,82;1,52;53,72;6,31;25,64;62,53;42,11;-20,33;-0,59;3,95;3,25;-3,84;5,27;11,84;9,89;-1,31;0,84;0,14;0,39;6,65;;10.452.057,33;4,16;0,49;0,31;4.031.886.049,65
BOBR3;0,00;;0,00;0,00;0,00;34,71;10,72;1,54;0,00;3,26;2,34;;0,00;0,00;0,00;0,65;-14,51;2,61;61,29;-0,18;1,18;1,70;6,05;-29,19;;-0,60;0,09;0,00;145.015.465,16
BOBR4;1,20;;13,84;-2,01;0,36;34,71;10,72;1,54;1,98;3,26;2,34;;0,21;-1,42;-0,69;0,65;-14,51;2,61;61,29;-0,18;1,18;1,70;6,05;-29,19;21.599,60;-0,60;0,09;-0,21;145.015.465,16
BPAC11;19,60;3,35;9,59;1,77;0,20;17,34;19,52;15,80;7,76;7,81;;;1,51;7,23;-2,35;1,03;18,51;2,12;;0,11;0,89;0,13;46,00;30,57;296.311.476,74;11,05;2,04;0,94;75.671.915.393,15
BPAC3;10,39;2,11;15,25;2,82;0,32;17,34;19,52;15,80;12,34;7,81;;;2,41;11,50;-3,74;1,03;18,51;2,12;;0,11;0,89;0,13;46,00;30,57;82.027,44;3,68;0,68;1,49;75.671.915.393,15
BPAC5;4,93;4,44;7,23;1,34;0,15;17,34;19,52;15,80;5,86;7,81;;;1,14;5,46;-1,77;1,03;18,51;2,12;;0,11;0,89;0,13;46,00;30,57;41.290,56;3,68;0,68;0,71;75.671.915.393,15
BPAN4;5,09;5,47;9,70;0,91;0,12;52,60;6,81;5,66;8,06;8,12;;;0,55;;-0,12;;9,38;1,20;;0,13;0,87;0,21;8,24;43,43;17.501.207,00;5,60;0,52;-0,43;6.531.512.249,97
BPAR3;182,07;5,69;7,28;1,02;0,11;55,65;14,23;8,39;4,30;4,30;;;0,61;1,27;-0,12;;14,01;1,56;;0,11;0,89;0,19;4,66;0,56;;178,47;25,00;0,30;1.733.606.633,43
BPAT33;44,05;;6,98;0,66;0,09;51,56;21,77;5,61;1,80;1,80;;;0,39;;-0,12;;9,46;1,35;;0,14;0,86;0,24;14,99;-18,89;;66,71;6,31;-0,11;1.533.769.021,00
BPHA3;0,62;;0,06;-0,24;0,99;98,02;1.029,99;13.896,67;0,80;1,66;0,85;;8,28;-0,38;-1,18;0,06;-402,50;1.669,02;-36,75;-4,15;5,15;0,12;-68,85;;;-2,58;10,40;0,00;70.110.298,74
BRAP3;24,59;12,09;1,63;1,23;1,22;;;;1,64;1,60;-0,14;-0,11;;12,12;-1,37;9,56;75,82;74,92;74,47;0,99;0,01;0,00;;56,67;1.784.574,16;19,93;15,11;0,18;10.279.545.402,90
BRAP4;26,83;12,19;1,78;1,35;1,33;;;;1,79;1,60;-0,14;-0,11;;13,23;-1,50;9,56;75,82;74,92;74,47;0,99;0,01;0,00;;56,67;68.882.978,16;19,93;15,11;0,20;10.279.545.402,90
BRBI11;9,94;8,75;7,06;1,30;0,13;36,49;17,71;22,54;8,99;1,47;-7,52;-1,09;1,59;1,24;-12,10;1,12;18,37;1,88;0,40;0,10;0,90;0,08;;;758.690,77;7,66;1,41;0,33;1.044.707.254,80
BRBI3;0,00;;0,00;0,00;0,00;36,49;17,71;22,54;0,00;1,47;-7,52;-1,09;0,00;0,00;0,00;1,12;18,37;1,88;0,40;0,10;0,90;0,08;;;;2,55;0,47;0,00;1.044.707.254,80
BRBI4;0,00;;0,00;0,00;0,00;36,49;17,71;22,54;0,00;1,47;-7,52;-1,09;0,00;0,00;0,00;1,12;18,37;1,88;0,40;0,10;0,90;0,08;;;;2,55;0,47;0,00;1.044.707.254,80
BRFS3;6,21;;-2,12;0,57;0,12;15,12;-0,25;-5,88;-49,32;-159,62;-109,82;1,27;0,12;1,60;-0,21;1,19;-26,78;-5,47;-1,19;0,20;0,80;0,93;13,70;;169.691.038,05;10,92;-2,93;0,00;6.787.107.252,42
BRGE11;9,22;4,15;8,09;0,37;0,20;-3.678,63;1.397,50;2.207,62;12,77;-14,22;-28,66;-0,84;178,50;0,58;-0,51;2,33;4,61;2,48;2,77;0,54;0,46;0,00;-31,54;10,41;3.597,33;24,71;1,14;0,03;767.904.807,76
BRGE12;9,49;;8,32;0,38;0,21;-3.678,63;1.397,50;2.207,62;13,15;-14,22;-28,66;-0,84;183,73;0,60;-0,52;2,33;4,61;2,48;2,77;0,54;0,46;0,00;-31,54;10,41;19.421,53;24,71;1,14;0,03;767.904.807,76
BRGE3;9,70;;8,51;0,39;0,21;-3.678,63;1.397,50;2.207,62;13,44;-14,22;-28,66;-0,84;187,79;0,61;-0,53;2,33;4,61;2,48;2,77;0,54;0,46;0,00;-31,54;10,41;2.945,15;24,71;1,14;0,03;767.904.807,76
BRGE5;11,31;2,82;9,92;0,46;0,25;-3.678,63;1.397,50;2.207,62;15,67;-14,22;-28,66;-0,84;218,96;0,71;-0,62;2,33;4,61;2,48;2,77;0,54;0,46;0,00;-31,54;10,41;4.755,00;24,71;1,14;0,03;767.904.807,76
BRGE6;10,51;7,28;9,22;0,43;0,23;-3.678,63;1.397,50;2.207,62;14,56;-14,22;-28,66;-0,84;203,48;0,66;-0,58;2,33;4,61;2,48;2,77;0,54;0,46;0,00;-31,54;10,41;2.101,00;24,71;1,14;0,03;767.904.807,76
BRGE7;5,40;8,27;4,74;0,22;0,12;-3.678,63;1.397,50;2.207,62;7,48;-14,22;-28,66;-0,84;104,55;0,34;-0,30;2,33;4,61;2,48;2,77;0,54;0,46;0,00;-31,54;10,41;;24,71;1,14;0,02;767.904.807,76
BRGE8;9,70;3,29;8,51;0,39;0,21;-3.678,63;1.397,50;2.207,62;13,44;-14,22;-28,66;-0,84;187,79;0,61;-0,53;2,33;4,61;2,48;2,77;0,54;0,46;0,00;-31,54;10,41;1.983,00;24,71;1,14;0,03;767.904.807,76
BRIT3;2,14;0,06;15,83;0,70;0,31;41,86;16,91;6,16;5,77;9,67;4,01;0,48;0,98;2,87;-0,42;1,74;4,40;1,97;4,61;0,45;0,55;0,32;;;959.238,77;3,07;0,14;0,01;943.099.323,60
BRIV3;9,46;2,25;7,01;0,49;0,03;16,44;6,00;4,07;4,76;4,76;;;0,29;0,67;-0,03;18,27;7,04;0,45;;0,06;0,94;0,11;20,48;19,19;10.684,00;19,15;1,35;;838.329.072,45
BRIV4;9,48;6,54;7,03;0,50;0,03;16,44;6,00;4,07;4,77;4,76;;;0,29;0,68;-0,03;18,27;7,04;0,45;;0,06;0,94;0,11;20,48;19,19;11.621,08;19,15;1,35;;838.329.072,45
BRKM3;20,46;8,29;-48,59;2,67;0,19;11,77;4,43;-0,35;3,82;8,61;4,88;3,41;0,17;1,59;-0,30;1,42;-5,50;-0,38;8,16;0,07;0,93;1,10;14,40;;336.808,79;7,66;-0,42;0,47;15.938.232.982,52
BRKM5;19,40;8,74;-46,07;2,53;0,18;11,77;4,43;-0,35;3,62;8,61;4,88;3,41;0,16;1,51;-0,29;1,42;-5,50;-0,38;8,16;0,07;0,93;1,10;14,40;;81.248.815,63;7,66;-0,42;0,45;15.938.232.982,52
BRKM6;16,50;;-39,19;2,15;0,15;11,77;4,43;-0,35;3,08;8,61;4,88;3,41;0,14;1,28;-0,25;1,42;-5,50;-0,38;8,16;0,07;0,93;1,10;14,40;;5.190,00;7,66;-0,42;0,38;15.938.232.982,52
BRML3;8,26;0,65;11,94;0,61;0,38;89,05;68,85;39,63;6,87;8,75;1,88;0,17;4,73;18,14;-0,41;1,37;5,09;3,16;6,74;0,62;0,38;0,08;2,70;;113.095.545,00;13,60;0,69;0,06;6.841.542.281,84
BRPR3;232,00;1,54;-1,77;0,61;0,57;100,00;-656,01;-511,97;-1,38;-1,23;0,15;-0,07;9,05;1,27;-1,11;12,93;-34,49;-32,26;-54,94;0,94;0,06;0,06;-7,12;;22.136.235,88;380,34;-131,19;0,00;2.693.940.600,24
BRQB3;0,00;;0,00;0,00;0,00;36,97;17,63;11,09;0,00;-0,88;-0,88;-0,66;0,00;0,00;0,00;1,93;47,15;20,56;40,18;0,44;0,56;1,85;19,62;113,01;;1,34;0,63;0,00;0,00
BRSR3;11,13;8,21;5,40;0,48;0,04;30,36;5,84;6,47;5,99;5,69;;;0,35;2,85;-0,04;1,87;8,85;0,74;;0,08;0,92;0,11;6,91;-5,11;60.508,53;23,28;2,06;-0,27;4.327.585.329,41
BRSR5;15,19;6,10;7,38;0,65;0,05;30,36;5,84;6,47;8,17;5,69;;;0,48;3,88;-0,06;1,87;8,85;0,74;;0,08;0,92;0,11;6,91;-5,11;5.620,56;23,28;2,06;-0,36;4.327.585.329,41
